Date,Price,Open,High,Low,Change %,short_mavg,long_mavg,signal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200
12/18/2025,1.1722,1.174,1.1763,1.1713,-0.15%,1.17582,1.1766975609756096,0.0,1.174449768194729,1.1743413552370057,,-0.2043248765537357,-1.940772963024938,-0.0024000000000001798,-0.024900000000000144,44.55132827573571,44.360030063833314,,18.691588785046477,26.671459381739563,29.585798816567877,31.360946745562057,,
12/17/2025,1.174,1.1747,1.1759,1.1703,-0.06%,1.17576,1.1766333333333332,0.0,1.1743679742774253,1.1743179079674144,,-0.06809669731019186,-2.4997923760485024,-0.000600000000000156,-0.021400000000000086,49.108076556051444,45.33917827166251,,35.51401869158851,20.560747663551606,33.13609467455609,29.98027613412222,,
12/16/2025,1.1747,1.1753,1.1804,1.1735,-0.05%,1.17575,1.1765883720930232,0.0,1.1744283533907554,1.1743440443396147,,-0.21236833163438218,-1.1278511909771785,-9.999999999998899e-05,-0.02939999999999987,50.8532621264563,45.7234360651307,,42.056074766356126,32.087227414330364,52.238805970149336,38.32023315375777,,
12/15/2025,1.1753,1.1739,1.1769,1.1726,0.11%,1.1755600000000002,1.1765590909090908,0.0,1.1745868577895304,1.1744091816993119,,-0.16139993204213496,-0.634088603314175,-0.0019000000000000128,-0.012799999999999923,52.40758484046798,46.05966619259698,,47.66355140186945,41.74454828660469,69.08396946564888,51.48629003678477,,
12/12/2025,1.174,1.1738,1.175,1.1719,0.02%,1.17524,1.1765022222222221,0.0,1.174480143595211,1.1743814013129596,,-0.32263542197317246,-0.1276052743513447,-0.0032000000000000917,-0.008800000000000141,48.69973064071385,45.42889505687276,,35.51401869158851,41.7445482866047,70.88607594936661,64.06961712838829,,
12/11/2025,1.1738,1.1696,1.1763,1.1682,0.36%,1.17484,1.1764434782608695,0.0,1.1743564690069883,1.1743420613270836,,-0.33961623365596905,0.4621704895583575,-0.0040000000000000036,-0.0017000000000000348,48.1177905019222,45.33009718819442,,44.09448818897623,42.424019427478065,70.04219409282662,70.00407983594737,,
12/10/2025,1.1696,1.1627,1.1701,1.1622,0.59%,1.17402,1.1762978723404256,0.0,1.1734915871338811,1.174022201007657,,-0.8393387028401882,-0.24733475479745198,-0.008199999999999985,0.0011999999999998678,37.62662374712362,43.285083527263644,,40.659340659341076,40.08928251330194,52.32067510548497,64.41631504922607,,
12/09/2025,1.1627,1.1637,1.1658,1.1615,-0.09%,1.17234,1.1760145833333333,0.0,1.1715293516928946,1.173260734148864,,-1.1393588980528744,-0.16314614459900503,-0.016799999999999926,-0.009800000000000031,26.914744550088415,40.20269231023427,,6.3492063492068525,30.36767839917472,23.20675105485252,48.52320675105471,,
12/08/2025,1.1637,1.1645,1.1673,1.1616,-0.05%,1.1711,1.1757632653061225,0.0,1.1701057568148083,1.1726194893814499,,-0.6233988044406562,0.3276144495215127,-0.012399999999999967,-0.0009000000000001229,30.11837075330773,40.83436657440172,,11.640211640211584,19.54958621625317,23.55555555555497,33.027660571964155,,
12/05/2025,1.1643,1.1644,1.1672,1.1628,-0.01%,1.17043,1.1755339999999999,0.0,1.169050118321283,1.1720629175032848,,-0.6739464255246561,0.30151619572707067,-0.00670000000000015,0.0043999999999999595,32.10252056936824,41.21977156062621,,14.814814814814422,10.93474426807762,23.148148148147587,23.303484919518358,,
12/04/2025,1.1644,1.167,1.1683,1.1641,-0.24%,1.16965,1.1753156862745098,0.0,1.1682046118919476,1.171551489187508,,-0.8177172061328647,0.0,-0.007799999999999807,0.0036000000000000476,32.45765584169294,41.285713786506136,,15.34391534391607,13.932980599647358,14.948453608248,20.55071910398352,,
12/03/2025,1.1672,1.1626,1.1677,1.162,0.41%,1.16897,1.1751596153846153,0.0,1.16802194981599,1.1712617124680667,,-0.6384608836298682,0.24907669844542857,-0.006799999999999917,0.0027999999999999137,41.91032813353916,43.13357581601684,,30.158730158730496,20.10582010582033,29.381443298969145,22.49268168512158,,
12/02/2025,1.1624,1.161,1.1627,1.1591,0.11%,1.1677399999999998,1.1749188679245282,0.0,1.1669997525425402,1.1706728113237026,,-1.0975921041436154,-0.37709976002742196,-0.012299999999999978,-0.0018999999999997907,33.08949978215951,40.853439334393144,,18.539325842697043,21.347323781781203,15.137614678899425,19.822503862038857,,
12/01/2025,1.1611,1.1596,1.1652,1.1589,0.13%,1.16632,1.174662962962963,0.0,1.1659270491578169,1.1700378851787756,,-1.0988074957410487,-0.23199862519332573,-0.01419999999999999,-0.005700000000000038,31.118585386362724,40.25720853140304,,12.643678160919524,20.447244720782354,9.999999999999899,18.173019325956158,,
11/28/2025,1.1596,1.1595,1.1609,1.1555,0.01%,1.16488,1.174389090909091,0.0,1.1647766580660195,1.1693468328633854,,-1.2097461237008,-0.5488850771869608,-0.014399999999999968,-0.0041999999999999815,28.910865119024493,39.56792137801593,,19.711538461538492,16.96484748838502,16.14173228346448,13.759782320787934,,
11/27/2025,1.1595,1.1595,1.1614,1.1576,0.00%,1.1634499999999999,1.1741232142857143,0.0,1.163817253054888,1.1686960117622538,,-0.8635430916552667,-0.6767174918622596,-0.01429999999999998,-0.00649999999999995,28.759726592847443,39.52125337317875,,27.39726027397273,19.91749229881025,15.74803149606295,13.963254593175776,,
11/26/2025,1.1595,1.1571,1.1601,1.1547,0.21%,1.1624400000000001,1.1738666666666666,0.0,1.1630322894955747,1.1680891641367985,,-0.27522146727445523,-0.8041748652579412,-0.010099999999999998,-0.007900000000000018,28.759726592847443,39.52125337317875,,35.294117647058634,27.467638794189952,18.320610687022576,16.736791488850002,,
11/25/2025,1.1571,1.1521,1.1586,1.1511,0.43%,1.16188,1.1735775862068965,0.0,1.1619536818960665,1.1673650533055002,,-0.5671564836297963,-1.2797542871768537,-0.005600000000000049,-0.011800000000000033,24.902437594302043,38.35925916202985,,34.88372093023283,32.5250329504214,20.134228187919447,18.06762345700166,,
11/24/2025,1.1521,1.1513,1.1551,1.1502,0.07%,1.16072,1.1732135593220339,0.0,1.1601620904460546,1.1663605738004672,,-1.0478399038048603,-1.6979522184300366,-0.011600000000000055,-0.020000000000000018,19.002738405931268,36.07343522560843,,10.497237569060841,26.891692048784098,6.188925081433232,14.881254652125085,,
11/21/2025,1.1513,1.1529,1.1553,1.149,-0.14%,1.1594200000000001,1.1728483333333335,0.0,1.1585507917643731,1.1653708228103197,,-1.1250429405702602,-1.9836540098757107,-0.0129999999999999,-0.02069999999999994,18.234731959893537,35.72111240059152,,11.917098445595771,19.09935231496315,7.210031347962276,11.177728205771652,,
11/20/2025,1.1529,1.1537,1.155,1.1507,-0.08%,1.15827,1.1722783333333333,0.0,1.1575233701187273,1.1645522489414275,,-1.2251542152158994,-1.84743742550656,-0.011500000000000066,-0.021700000000000053,24.97307773521699,36.99428267676482,,20.855614973262178,14.42331699597293,12.225705329153636,8.541553919516382,,
11/19/2025,1.1538,1.1581,1.1598,1.1518,-0.37%,1.15693,1.1716833333333334,0.0,1.1568463910588702,1.1638472724377877,,-0.7398485891259603,-1.787538304392248,-0.013400000000000079,-0.02080000000000015,28.648180581922816,37.71218771258454,,29.62962962962912,20.800781016162357,15.047021943573386,11.494252873563099,,
11/18/2025,1.1581,1.1592,1.1608,1.1571,-0.09%,1.1565,1.1711266666666666,0.0,1.1570743206940406,1.1634708446962396,,-0.25837567823616514,-1.6224940536867243,-0.0043000000000001926,-0.01670000000000016,43.3732523805716,41.033006863892226,,56.17283950617217,35.55269470302115,28.526645768024682,18.5997910135839,,
11/17/2025,1.1591,1.1621,1.1626,1.1582,-0.26%,1.1562999999999999,1.1707333333333334,0.0,1.1574426269964841,1.1631848489736158,,-0.04311831666091281,-1.5375467210329599,-0.0020000000000000018,-0.018100000000000005,46.24007021212356,41.779749618478824,,74.26470588235262,53.3557250060513,31.661442006269546,25.07836990595587,,
11/14/2025,1.1621,1.1639,1.1654,1.1606,-0.10%,1.15655,1.1704066666666664,0.0,1.1582894239204222,1.16311392948265,,0.22423458387235323,-1.3329937170996815,0.0024999999999999467,-0.015100000000000113,54.0024046808491,43.98135338041799,,79.87804878048728,70.10519805633736,41.06583072100274,33.75130616509899,,
11/13/2025,1.1633,1.1593,1.1656,1.1579,0.35%,1.15693,1.1701666666666666,0.0,1.1592004393659976,1.1631260830019179,,0.3277274687365266,-1.231108847002883,0.0038000000000000256,-0.014499999999999957,56.77619805007552,44.84440723068028,,86.14457831325316,80.09577765869768,44.82758620689643,39.18495297805624,,
11/12/2025,1.1593,1.1582,1.1598,1.1563,0.09%,1.1569099999999999,1.1698100000000002,0.0,1.1592185413256744,1.1628763756581517,,0.19013049866044246,-1.7125900805426024,-0.00019999999999997797,-0.01849999999999996,46.41063838785712,42.58218519409398,,62.04819277108439,76.02360662160828,32.80254777070069,39.56532156619995,,
11/11/2025,1.1582,1.1557,1.1606,1.1547,0.22%,1.15702,1.1694149999999999,0.0,1.1590333517742488,1.162571402629454,,0.5294679281312381,-1.5219794235184108,0.0010999999999998789,-0.021300000000000097,43.958422340076076,41.97973303669667,,55.421686746987376,67.87148594377497,29.299363057324562,35.64316567830723,,
11/10/2025,1.1557,1.1566,1.1584,1.154,-0.08%,1.15738,1.1690250000000002,0.0,1.1584272872275931,1.1621235926862667,,0.38217666985146875,-1.306575576430409,0.0036000000000000476,-0.020399999999999974,38.783613911811926,40.62830205044232,,40.36144578313222,52.61044176706799,21.337579617834255,27.81316348195317,,
11/07/2025,1.1566,1.1547,1.1591,1.1529,0.16%,1.1579099999999998,1.1685516666666667,0.0,1.1580950529226206,1.1617638548966795,,0.3209298291265536,-1.3308309162258862,0.005300000000000082,-0.014399999999999968,41.53655291738424,41.331671774563674,,39.597315436241956,45.12681598878718,24.20382165605122,24.94692144373668,,
11/06/2025,1.1548,1.1492,1.1553,1.149,0.49%,1.1581,1.1678466666666665,0.0,1.1574959520023356,1.1613105935395833,,0.08667013347201526,-1.635434412265748,0.0019000000000000128,-0.01739999999999986,37.76274379387372,40.34283664812976,,34.93975903614485,38.29950675183968,18.471337579617998,21.33757961783449,,
11/05/2025,1.1492,1.1484,1.1498,1.1469,0.08%,1.15764,1.1670766666666668,0.0,1.1559875962917117,1.1605227930488418,,-0.7685001295224859,-2.1707670043415406,-0.0045999999999999375,-0.024799999999999933,28.737301796939818,37.45859788348429,,12.299465240641585,28.945513237676135,6.865671641790979,16.513610292486735,,
11/04/2025,1.1483,1.1519,1.1534,1.1473,-0.32%,1.15666,1.1661466666666667,0.0,1.1545898509040138,1.159728118593235,,-0.9317573979811854,-2.297285799370366,-0.009799999999999809,-0.02639999999999998,27.561017869022265,37.018588065287595,,7.486631016043169,18.241951764276532,4.666666666666889,10.00122529602529,,
11/03/2025,1.152,1.1536,1.1542,1.1505,-0.14%,1.15595,1.165545,0.0,1.154118968754049,1.159225919840282,,-0.8691162550555029,-1.8739352640545164,-0.007100000000000106,-0.0233000000000001,38.971756323006844,40.01522649570677,,27.272727272726733,15.686274509803829,17.34693877550988,9.626425694655916,,
10/31/2025,1.1536,1.1566,1.1578,1.1521,-0.26%,1.1551,1.1650583333333333,0.0,1.154024610771319,1.1588604996464562,,-0.8338347803662032,-1.7209064576588853,-0.008499999999999952,-0.020399999999999974,43.265759912130015,41.26536390148625,,35.82887700534732,23.529411764705742,22.78911564625836,14.934240362811709,,
10/30/2025,1.1566,1.1601,1.1637,1.1547,-0.30%,1.15443,1.1647433333333335,0.0,1.1544928634697984,1.158713737595711,,-0.23289916328818466,-1.111491108071127,-0.006699999999999928,-0.017199999999999882,50.518952062576304,43.54741360723469,,57.738095238095745,40.27989983872327,41.81034482758659,27.31546641645161,,
10/29/2025,1.1601,1.1652,1.1666,1.1578,-0.44%,1.15451,1.1646050000000001,0.0,1.155512343037451,1.1588037033882208,,0.16404766016232197,-0.22361744216050208,0.0007999999999999119,-0.009500000000000064,57.55341542104002,46.07602873781531,,67.00507614213119,53.52401612852475,61.68224299065403,42.09390115483299,,
10/28/2025,1.1652,1.1645,1.1669,1.1626,0.06%,1.1552099999999998,1.1644833333333333,0.0,1.1572737354930953,1.1592186523712347,,0.8220126330362607,0.12889920082495976,0.007000000000000117,0.0024999999999999467,65.49539499049561,49.486627585794004,,91.49999999999984,72.08105712674227,85.51401869158926,63.002202169943295,,
10/27/2025,1.1645,1.1626,1.1652,1.1617,0.16%,1.15609,1.1644816666666666,0.0,1.1585876019383505,1.1595611485787045,,0.6830364862528115,0.01717770334108048,0.008800000000000141,0.0008000000000001339,63.67836021000471,49.0461690970863,,88.00000000000023,82.16835871404375,82.24299065420641,76.47975077881657,,
10/24/2025,1.1626,1.1618,1.1649,1.16,0.07%,1.15669,1.1645266666666667,0.0,1.159317128936459,1.1597581527572687,,0.6754416349151393,-0.1545860529027846,0.006000000000000005,-0.0016999999999998128,58.76180778418467,47.85030815269582,,78.50000000000017,86.00000000000007,73.3644859813091,80.37383177570159,,
10/23/2025,1.1618,1.1611,1.162,1.1585,0.06%,1.15739,1.1645433333333335,0.0,1.1597685600783147,1.159890481315141,,1.09641489731987,-0.46264564770391287,0.006999999999999895,-0.0026000000000001577,56.713254567772836,47.34746565844469,,74.4999999999995,80.3333333333333,71.6346153846152,75.74736400671024,,
